# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_3_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_3/K21_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_3/K21_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_3/K21_1.bam
5843_14	k141_12574	13656	14291	+	636	0
5843_15	k141_12574	14319	15068	+	750	4
5843_16	k141_12574	15153	15740	-	588	1
5843_17	k141_12574	16050	16997	+	948	1
5843_18	k141_12574	17177	20512	+	3336	0
5843_19	k141_12574	20528	22120	+	1593	0
5843_20	k141_12574	22126	23043	+	918	0
5843_21	k141_12574	23052	24416	+	1365	7
5843_22	k141_12574	24419	26017	+	1599	1
5843_23	k141_12574	26104	27096	+	993	0
5843_24	k141_12574	27726	28277	-	552	0
5843_25	k141_12574	28326	29390	-	1065	1
5843_26	k141_12574	29806	30174	+	369	0
5843_27	k141_12574	30505	30705	+	201	0
5843_28	k141_12574	30702	31295	+	594	0
5843_29	k141_12574	31311	31937	+	627	0
5843_30	k141_12574	31934	32701	+	768	1
5843_31	k141_12574	32715	33824	+	1110	0
5843_32	k141_12574	33830	34528	+	699	0
5843_33	k141_12574	34554	35057	+	504	0
5844_1	k141_19216	115	846	+	732	0
5844_2	k141_19216	827	1141	+	315	0
5845_1	k141_17527	1	1635	-	1635	0
5846_1	k141_3781	2	1048	-	1047	0
5847_1	k141_1653	2	1381	-	1380	0
5847_2	k141_1653	1497	2543	-	1047	0
5848_1	k141_41079	2	544	+	543	0
5848_2	k141_41079	512	886	-	375	0
5848_3	k141_41079	1113	1412	-	300	0
5849_1	k141_10540	3	272	-	270	1
5849_2	k141_10540	409	1395	+	987	16
5850_1	k141_6017	3	98	-	96	10
5850_2	k141_6017	1101	2714	+	1614	51
5850_3	k141_6017	2897	3613	+	717	16
5850_4	k141_6017	3697	5433	+	1737	29
5850_5	k141_6017	5482	5805	+	324	12
5850_6	k141_6017	5861	6235	+	375	11
5850_7	k141_6017	6363	7514	-	1152	25
5850_8	k141_6017	7688	9046	+	1359	34
5850_9	k141_6017	9105	13550	+	4446	151
5850_10	k141_6017	13713	14654	+	942	28
5850_11	k141_6017	14638	16218	+	1581	44
5850_12	k141_6017	16233	18635	+	2403	67
5850_13	k141_6017	18711	19979	+	1269	24
5850_14	k141_6017	20001	20126	+	126	2
5850_15	k141_6017	20098	21045	+	948	30
5850_16	k141_6017	21066	21494	+	429	12
5850_17	k141_6017	21509	22471	+	963	14
5850_18	k141_6017	22527	23243	+	717	14
5850_19	k141_6017	23411	26845	+	3435	77
5850_20	k141_6017	26919	27530	+	612	17
5850_21	k141_6017	27579	28322	+	744	30
5850_22	k141_6017	28765	31317	-	2553	73
5850_23	k141_6017	31415	31621	-	207	9
5850_24	k141_6017	31608	32372	-	765	14
5850_25	k141_6017	33473	34408	-	936	30
5850_26	k141_6017	34949	35179	-	231	15
5851_1	k141_19219	1	84	+	84	0
5851_2	k141_19219	121	441	+	321	2
5851_3	k141_19219	445	969	+	525	0
5851_4	k141_19219	966	1301	+	336	1
5851_5	k141_19219	1279	2358	+	1080	5
5852_1	k141_17534	3	734	-	732	0
5852_2	k141_17534	902	1072	-	171	0
5853_1	k141_10541	2	1117	+	1116	0
5854_1	k141_31338	167	847	+	681	86
5854_2	k141_31338	1140	3179	+	2040	270
5854_3	k141_31338	3939	4367	-	429	70
5855_1	k141_3783	1	483	+	483	0
5855_2	k141_3783	489	1118	-	630	0
5855_3	k141_3783	1148	2497	-	1350	4
5855_4	k141_3783	2521	2976	-	456	0
5855_5	k141_3783	3049	3399	-	351	0
5856_1	k141_17536	75	590	+	516	0
5856_2	k141_17536	626	1042	-	417	0
5857_1	k141_12579	40	480	-	441	129
5857_2	k141_12579	689	2425	-	1737	159
5857_3	k141_12579	2456	2809	-	354	16
5857_4	k141_12579	2877	3470	-	594	58
5857_5	k141_12579	3474	4361	-	888	119
5858_1	k141_10544	2	1279	+	1278	2
5859_1	k141_24567	1	675	-	675	0
5859_2	k141_24567	931	1158	-	228	0
5860_1	k141_3785	1	408	-	408	0
5860_2	k141_3785	414	1169	-	756	0
5860_3	k141_3785	1166	1972	-	807	0
5861_1	k141_26884	2	244	+	243	14
5861_2	k141_26884	353	574	+	222	0
5861_3	k141_26884	567	1061	+	495	0
5861_4	k141_26884	1108	1314	+	207	0
5861_5	k141_26884	1432	1614	+	183	0
5861_6	k141_26884	1728	1889	+	162	0
5861_7	k141_26884	2078	3682	+	1605	0
5861_8	k141_26884	3679	4281	+	603	0
5861_9	k141_26884	4292	5293	+	1002	0
5861_10	k141_26884	5333	6226	+	894	0
5861_11	k141_26884	6219	7424	+	1206	0
5861_12	k141_26884	7561	8490	+	930	0
5861_13	k141_26884	8487	9401	+	915	0
5861_14	k141_26884	9408	10529	+	1122	0
5861_15	k141_26884	10577	10696	-	120	0
5862_1	k141_42891	2	199	+	198	44
5862_2	k141_42891	586	912	-	327	94
5862_3	k141_42891	1301	1627	-	327	40
5862_4	k141_42891	1661	1852	-	192	18
5862_5	k141_42891	2149	4599	+	2451	460
5862_6	k141_42891	4843	6618	-	1776	289
5863_1	k141_19230	3	449	-	447	0
5863_2	k141_19230	460	1110	-	651	0
5863_3	k141_19230	1112	2497	-	1386	0
5863_4	k141_19230	2498	3058	-	561	3
5864_1	k141_15576	230	1321	-	1092	0
5864_2	k141_15576	1425	2348	+	924	0
5864_3	k141_15576	2378	3658	-	1281	0
5864_4	k141_15576	3661	5148	-	1488	0
5864_5	k141_15576	5392	5949	-	558	0
5864_6	k141_15576	5975	6739	-	765	0
5864_7	k141_15576	6952	8370	+	1419	0
5864_8	k141_15576	8551	8733	+	183	0
5864_9	k141_15576	8723	10114	+	1392	0
5864_10	k141_15576	10235	10357	-	123	0
5864_11	k141_15576	10629	10853	+	225	0
5864_12	k141_15576	10993	12240	+	1248	0
5864_13	k141_15576	12380	12607	-	228	0
5864_14	k141_15576	12628	13224	-	597	0
5864_15	k141_15576	13599	13772	+	174	2
5864_16	k141_15576	14008	15330	-	1323	0
5864_17	k141_15576	15352	15846	-	495	0
5864_18	k141_15576	15856	16446	-	591	0
5864_19	k141_15576	16443	17246	-	804	0
5864_20	k141_15576	17243	17635	-	393	0
5864_21	k141_15576	17628	18338	-	711	0
5864_22	k141_15576	18338	19429	-	1092	0
5864_23	k141_15576	19714	20352	+	639	0
5864_24	k141_15576	20349	20744	-	396	0
5864_25	k141_15576	20937	24908	-	3972	9
5864_26	k141_15576	25335	26843	+	1509	0
5864_27	k141_15576	26956	27390	+	435	0
5864_28	k141_15576	27492	28709	-	1218	0
5864_29	k141_15576	28950	29780	+	831	1
5864_30	k141_15576	29836	30960	+	1125	3
5864_31	k141_15576	30965	32245	+	1281	1
5864_32	k141_15576	32479	33546	+	1068	0
5864_33	k141_15576	33597	33890	-	294	0
5864_34	k141_15576	34045	34833	-	789	0
5864_35	k141_15576	34956	35651	+	696	0
5864_36	k141_15576	35648	36844	+	1197	0
5864_37	k141_15576	36923	38071	+	1149	0
5864_38	k141_15576	38068	41142	+	3075	0
5865_1	k141_12587	105	905	-	801	0
5865_2	k141_12587	929	1735	-	807	0
5866_1	k141_41086	2	313	+	312	45
5866_2	k141_41086	456	1346	+	891	146
5866_3	k141_41086	1413	2567	+	1155	150
5866_4	k141_41086	3034	3678	+	645	145
5866_5	k141_41086	3675	4097	+	423	50
5866_6	k141_41086	4101	4415	+	315	27
5867_1	k141_12589	1	900	-	900	2
5867_2	k141_12589	897	1043	-	147	0
5868_1	k141_41090	2	334	+	333	0
5868_2	k141_41090	389	847	+	459	0
5868_3	k141_41090	1473	1601	-	129	0
5869_1	k141_42893	2	637	-	636	0
5869_2	k141_42893	840	1811	-	972	0
5869_3	k141_42893	2246	2866	+	621	0
5869_4	k141_42893	2923	3465	-	543	0
5869_5	k141_42893	3576	4001	+	426	0
5870_1	k141_15580	218	1522	-	1305	0
5870_2	k141_15580	1519	2934	-	1416	0
5871_1	k141_12590	44	1219	-	1176	0
5871_2	k141_12590	1225	3108	-	1884	1
5872_1	k141_24585	3	1634	-	1632	0
5873_1	k141_3797	3	1343	+	1341	0
5873_2	k141_3797	1402	2259	+	858	0
5873_3	k141_3797	2350	3000	-	651	0
5873_4	k141_3797	3005	3592	-	588	0
5874_1	k141_15583	3	1115	-	1113	0
5875_1	k141_42895	83	871	+	789	7
5875_2	k141_42895	951	1928	+	978	2
5875_3	k141_42895	1882	2412	+	531	0
5876_1	k141_19231	366	845	+	480	0
5876_2	k141_19231	917	1408	-	492	0
5876_3	k141_19231	1515	2054	+	540	0
5876_4	k141_19231	2159	5203	+	3045	0
5876_5	k141_19231	5219	6850	+	1632	0
5876_6	k141_19231	6996	7274	+	279	0
5877_1	k141_24588	3	581	-	579	0
5877_2	k141_24588	578	1381	-	804	0
5878_1	k141_17548	1	84	-	84	0
5878_2	k141_17548	755	2881	+	2127	0
5878_3	k141_17548	2878	3867	+	990	1
5878_4	k141_17548	4295	6535	+	2241	0
5878_5	k141_17548	6564	7286	+	723	0
5878_6	k141_17548	7289	7408	-	120	0
5879_1	k141_42897	1	1158	-	1158	28
5880_1	k141_41101	17	751	+	735	1
5880_2	k141_41101	925	1401	+	477	1
5880_3	k141_41101	1398	1922	+	525	0
5881_1	k141_19233	3	323	+	321	0
5881_2	k141_19233	387	1478	+	1092	0
5882_1	k141_15588	2	907	+	906	0
5882_2	k141_15588	894	1946	+	1053	0
5883_1	k141_31339	3	1982	-	1980	287
5883_2	k141_31339	2177	3904	-	1728	309
5883_3	k141_31339	3911	5071	-	1161	205
5883_4	k141_31339	5092	6705	-	1614	310
5883_5	k141_31339	6894	7385	+	492	58
5883_6	k141_31339	7479	9479	-	2001	1
5883_7	k141_31339	9497	11881	-	2385	0
5883_8	k141_31339	11895	14027	-	2133	363
5884_1	k141_41102	1	348	+	348	0
5884_2	k141_41102	394	1509	-	1116	0
5885_1	k141_24593	2	1045	+	1044	0
5886_1	k141_12597	34	273	-	240	0
5886_2	k141_12597	349	1188	-	840	0
5886_3	k141_12597	1298	1804	-	507	0
5887_1	k141_10546	2	160	+	159	0
5887_2	k141_10546	162	1505	+	1344	3
5887_3	k141_10546	1507	2577	+	1071	2
5887_4	k141_10546	2574	3293	+	720	1
5887_5	k141_10546	3350	3973	+	624	0
5887_6	k141_10546	4076	4546	+	471	1
5887_7	k141_10546	4572	5612	+	1041	0
5887_8	k141_10546	5621	6676	+	1056	0
5887_9	k141_10546	6746	7381	+	636	0
5887_10	k141_10546	7875	9260	-	1386	3
5887_11	k141_10546	9257	12352	-	3096	3
5887_12	k141_10546	12356	13423	-	1068	0
5888_1	k141_15589	3	437	-	435	0
5888_2	k141_15589	509	1096	-	588	0
5889_1	k141_10547	1	708	-	708	2939
5889_2	k141_10547	737	1120	-	384	1595
5890_1	k141_42898	3	878	+	876	19
5890_2	k141_42898	924	1265	+	342	6
5890_3	k141_42898	1490	1978	+	489	12
5890_4	k141_42898	2498	2890	-	393	11
5890_5	k141_42898	2959	3303	-	345	2
5891_1	k141_33773	2	514	+	513	132
5891_2	k141_33773	705	914	-	210	54
5891_3	k141_33773	968	1894	-	927	205
5891_4	k141_33773	3024	3914	-	891	115
5891_5	k141_33773	4006	4839	-	834	182
5891_6	k141_33773	5094	5282	-	189	11
5891_7	k141_33773	5310	7040	+	1731	279
5891_8	k141_33773	7163	8047	-	885	172
5891_9	k141_33773	8048	8404	-	357	44
5891_10	k141_33773	8455	9327	-	873	157
5891_11	k141_33773	9474	10058	-	585	109
5891_12	k141_33773	10093	10635	-	543	113
5891_13	k141_33773	10680	10859	-	180	28
5891_14	k141_33773	10899	12041	-	1143	214
5891_15	k141_33773	12028	12318	-	291	79
5891_16	k141_33773	12920	14206	-	1287	294
5891_17	k141_33773	14449	15141	-	693	137
5891_18	k141_33773	15157	15906	-	750	175
5891_19	k141_33773	16456	19644	+	3189	522
5891_20	k141_33773	20159	20341	-	183	83
5891_21	k141_33773	20538	22067	-	1530	389
5892_1	k141_3812	3	629	+	627	0
5892_2	k141_3812	630	1343	+	714	2
5893_1	k141_41104	125	1312	+	1188	4
5893_2	k141_41104	1511	1912	-	402	0
5893_3	k141_41104	1984	3159	-	1176	2
5894_1	k141_15591	1	897	+	897	0
5894_2	k141_15591	1073	1951	+	879	0
5894_3	k141_15591	2244	2732	-	489	0
5895_1	k141_12600	1	486	+	486	5
5895_2	k141_12600	689	1000	+	312	0
5895_3	k141_12600	1012	1344	+	333	3
5895_4	k141_12600	1341	2687	+	1347	0
5896_1	k141_42901	2	241	-	240	0
5896_2	k141_42901	260	889	-	630	0
5896_3	k141_42901	894	1250	-	357	0
5896_4	k141_42901	1279	1713	-	435	0
5897_1	k141_10554	1	924	-	924	7
5897_2	k141_10554	996	1376	-	381	0
5898_1	k141_31341	1	765	-	765	2
5898_2	k141_31341	982	2064	-	1083	9
5898_3	k141_31341	2073	2339	-	267	0
5898_4	k141_31341	2605	3624	-	1020	2
5898_5	k141_31341	3635	4927	-	1293	2
5898_6	k141_31341	4994	5449	-	456	0
5899_1	k141_41109	1	468	+	468	0
5899_2	k141_41109	710	958	-	249	0
5900_1	k141_15595	2	373	-	372	1
5900_2	k141_15595	370	1173	-	804	19
5900_3	k141_15595	1206	1277	+	72	0
5901_1	k141_10555	1	951	-	951	0
5901_2	k141_10555	990	1559	-	570	0
5902_1	k141_33778	3	836	+	834	0
5902_2	k141_33778	981	1442	+	462	0
5902_3	k141_33778	1590	2147	+	558	0
5902_4	k141_33778	2396	2842	+	447	0
5903_1	k141_42902	1	528	-	528	0
5903_2	k141_42902	644	1636	-	993	0
5903_3	k141_42902	1652	2155	-	504	0
5904_1	k141_36182	151	1155	-	1005	23
5904_2	k141_36182	1203	1898	-	696	6
5904_3	k141_36182	1985	3514	-	1530	33
5904_4	k141_36182	3541	4290	-	750	7
5904_5	k141_36182	4403	5614	-	1212	22
5904_6	k141_36182	5719	6735	-	1017	19
5904_7	k141_36182	7015	8403	-	1389	28
5904_8	k141_36182	8515	8688	-	174	7
5904_9	k141_36182	8826	12017	-	3192	51
5904_10	k141_36182	12031	13248	-	1218	23
5904_11	k141_36182	13415	13861	+	447	6
5904_12	k141_36182	13967	14779	-	813	20
5904_13	k141_36182	14799	15515	-	717	16
5904_14	k141_36182	15521	16738	-	1218	26
5904_15	k141_36182	16839	17840	-	1002	18
5904_16	k141_36182	17934	18179	-	246	20
5904_17	k141_36182	18219	18962	-	744	4
5904_18	k141_36182	18964	19908	-	945	13
5904_19	k141_36182	19964	20911	-	948	23
5904_20	k141_36182	20918	21922	-	1005	20
5904_21	k141_36182	21903	22910	-	1008	28
5904_22	k141_36182	22944	23504	-	561	14
5904_23	k141_36182	23660	23839	-	180	4
5904_24	k141_36182	23867	24367	-	501	5
5904_25	k141_36182	24480	25724	-	1245	12
5904_26	k141_36182	25758	26522	-	765	23
5904_27	k141_36182	26526	27260	-	735	10
5904_28	k141_36182	27275	27775	-	501	17
5904_29	k141_36182	27768	28349	-	582	12
5904_30	k141_36182	28526	30208	+	1683	26
5904_31	k141_36182	30246	31589	+	1344	24
5904_32	k141_36182	31642	32256	-	615	18
5904_33	k141_36182	32253	32747	-	495	10
5904_34	k141_36182	32747	34081	-	1335	27
5904_35	k141_36182	34112	35143	-	1032	18
5904_36	k141_36182	35304	36293	-	990	11
5904_37	k141_36182	36399	36818	-	420	9
5904_38	k141_36182	36834	37268	-	435	4
5904_39	k141_36182	37512	38780	+	1269	34
5904_40	k141_36182	38924	40453	+	1530	32
5904_41	k141_36182	40602	41519	+	918	13
5904_42	k141_36182	41512	42897	+	1386	16
5905_1	k141_24602	3	1400	-	1398	4
5905_2	k141_24602	1697	2671	+	975	0
5905_3	k141_24602	2676	2870	-	195	0
5906_1	k141_42903	1	579	-	579	0
5906_2	k141_42903	633	1205	-	573	0
5907_1	k141_19236	7	366	-	360	0
5907_2	k141_19236	368	925	-	558	0
5907_3	k141_19236	1076	1489	+	414	0
5907_4	k141_19236	1616	2704	-	1089	1
5907_5	k141_19236	2803	2931	+	129	0
5907_6	k141_19236	2933	3751	-	819	0
5907_7	k141_19236	3833	5128	-	1296	2
5907_8	k141_19236	5213	7114	-	1902	4
5907_9	k141_19236	7301	7903	-	603	0
5907_10	k141_19236	7995	8561	-	567	0
5908_1	k141_21987	63	1730	-	1668	414
5908_2	k141_21987	1958	4378	-	2421	498
5908_3	k141_21987	4375	5091	-	717	98
5908_4	k141_21987	5113	7521	-	2409	415
5908_5	k141_21987	7531	8778	-	1248	194
5908_6	k141_21987	8791	10137	-	1347	253
5908_7	k141_21987	10429	11763	+	1335	321
5908_8	k141_21987	11770	13080	+	1311	310
5908_9	k141_21987	13177	14709	-	1533	293
5908_10	k141_21987	14834	16903	+	2070	415
5908_11	k141_21987	16973	18475	+	1503	316
5908_12	k141_21987	18598	20217	-	1620	384
5908_13	k141_21987	21152	22315	-	1164	229
5908_14	k141_21987	22344	24710	-	2367	514
5908_15	k141_21987	24795	25376	+	582	113
5908_16	k141_21987	25998	26138	+	141	103
5909_1	k141_36183	1	993	-	993	0
5909_2	k141_36183	1002	1271	-	270	0
5910_1	k141_17550	1	111	+	111	9
5910_2	k141_17550	188	661	-	474	77
5910_3	k141_17550	742	1593	+	852	119
5910_4	k141_17550	1992	2588	+	597	94
5910_5	k141_17550	2783	3826	-	1044	143
5910_6	k141_17550	3839	4285	-	447	81
5910_7	k141_17550	4353	5546	-	1194	158
5910_8	k141_17550	5630	6883	-	1254	137
5910_9	k141_17550	7008	7799	+	792	127
5910_10	k141_17550	8128	9852	+	1725	565
5911_1	k141_12606	2	2740	+	2739	3
5911_2	k141_12606	2774	3142	+	369	0
5912_1	k141_42904	192	2204	-	2013	1
5913_1	k141_41116	2	1468	+	1467	0
5913_2	k141_41116	1468	1614	+	147	0
5914_1	k141_31342	1	1644	+	1644	0
5914_2	k141_31342	1725	2246	+	522	0
5914_3	k141_31342	2250	3461	+	1212	0
5914_4	k141_31342	3550	4248	+	699	0
5915_1	k141_12608	2	1288	+	1287	0
5916_1	k141_3821	3	362	-	360	0
5916_2	k141_3821	686	1282	-	597	0
5916_3	k141_3821	1597	2850	+	1254	0
5916_4	k141_3821	2719	4404	-	1686	0
5917_1	k141_19239	3	617	+	615	0
5917_2	k141_19239	586	1143	+	558	0
5917_3	k141_19239	1702	1836	+	135	0
5918_1	k141_42905	161	1495	-	1335	0
5919_1	k141_15607	3	1181	-	1179	138
5920_1	k141_10565	248	1138	-	891	0
5920_2	k141_10565	1135	1548	-	414	0
5920_3	k141_10565	1824	1961	+	138	0
5920_4	k141_10565	2067	2234	+	168	0
5921_1	k141_24613	2	514	+	513	37
5921_2	k141_24613	530	1048	+	519	115
5921_3	k141_24613	1095	1163	+	69	1
5922_1	k141_3823	1	1008	-	1008	171
5922_2	k141_3823	1029	1259	-	231	18
5923_1	k141_19240	125	811	-	687	0
5923_2	k141_19240	992	1981	-	990	0
5924_1	k141_36191	3	1235	-	1233	1
5924_2	k141_36191	1251	1706	-	456	0
5925_1	k141_17559	2	952	-	951	0
5926_1	k141_24615	2	514	+	513	83
5926_2	k141_24615	530	1048	+	519	171
5926_3	k141_24615	1095	1163	+	69	14
5927_1	k141_21997	1	1686	-	1686	0
5928_1	k141_12612	1	282	+	282	0
5928_2	k141_12612	424	2529	-	2106	0
5928_3	k141_12612	2611	2826	-	216	0
5929_1	k141_36193	3	284	+	282	3
5929_2	k141_36193	398	1213	+	816	20
5930_1	k141_10567	3	260	+	258	0
5930_2	k141_10567	318	1328	+	1011	0
5930_3	k141_10567	1386	2372	+	987	0
5930_4	k141_10567	2398	2538	+	141	0
5931_1	k141_19243	3	1301	-	1299	0
5932_1	k141_31348	3	1262	+	1260	3
5932_2	k141_31348	1718	2365	+	648	2
5932_3	k141_31348	2488	3336	-	849	0
5932_4	k141_31348	3614	3805	+	192	0
5933_1	k141_42909	2	1960	-	1959	0
5933_2	k141_42909	1995	2705	-	711	0
5934_1	k141_36197	2	1102	+	1101	4
5935_1	k141_12615	192	1778	+	1587	0
5936_1	k141_17562	3	647	-	645	0
5936_2	k141_17562	677	2158	-	1482	1
5936_3	k141_17562	2178	2972	-	795	0
5937_1	k141_3832	1	495	-	495	0
5937_2	k141_3832	1254	2366	+	1113	1
5937_3	k141_3832	2428	3375	+	948	2
5938_1	k141_10571	2	118	+	117	0
5938_2	k141_10571	126	2489	+	2364	1
5939_1	k141_22001	3	251	+	249	0
5939_2	k141_22001	248	367	+	120	0
5939_3	k141_22001	598	1392	+	795	0
5939_4	k141_22001	1550	1831	+	282	0
5939_5	k141_22001	2026	3201	+	1176	1
5939_6	k141_22001	3328	4239	+	912	0
5940_1	k141_36206	3	314	-	312	5
5940_2	k141_36206	720	1154	+	435	5
5941_1	k141_15615	29	1045	-	1017	0
5941_2	k141_15615	1055	1927	+	873	3
5941_3	k141_15615	2008	3357	+	1350	1
5941_4	k141_15615	3414	5072	-	1659	0
5941_5	k141_15615	5091	5216	-	126	0
5942_1	k141_41124	491	3442	+	2952	0
5942_2	k141_41124	3464	5050	+	1587	0
5942_3	k141_41124	5265	6434	+	1170	0
5943_1	k141_3835	1	1008	-	1008	45
5943_2	k141_3835	1029	1259	-	231	26
5944_1	k141_42918	3	83	+	81	5
5944_2	k141_42918	414	1040	-	627	10
5945_1	k141_36207	90	794	+	705	9
5945_2	k141_36207	787	1113	+	327	2
5946_1	k141_10573	208	1398	+	1191	1
5946_2	k141_10573	1398	2762	+	1365	1
5947_1	k141_31358	3	275	-	273	14
5947_2	k141_31358	259	1926	-	1668	66
5947_3	k141_31358	2583	2699	-	117	6
5948_1	k141_22004	2	181	-	180	0
5948_2	k141_22004	183	1235	-	1053	4
5948_3	k141_22004	1318	2136	+	819	4
5949_1	k141_41131	2	982	-	981	7
5949_2	k141_41131	1081	1212	-	132	0
5950_1	k141_17564	3	1091	+	1089	0
5950_2	k141_17564	1100	1816	+	717	0
5950_3	k141_17564	1816	2160	+	345	0
5950_4	k141_17564	2177	3655	+	1479	0
5950_5	k141_17564	3715	4845	-	1131	0
5950_6	k141_17564	4973	5299	+	327	0
5951_1	k141_10575	1	474	+	474	4
5951_2	k141_10575	586	978	+	393	0
5951_3	k141_10575	1009	1356	+	348	0
5952_1	k141_15625	1	75	+	75	0
5952_2	k141_15625	223	747	+	525	0
5952_3	k141_15625	836	1408	+	573	0
5953_1	k141_22008	2	1099	+	1098	0
5954_1	k141_10581	3	791	-	789	0
5955_1	k141_31361	3	71	-	69	0
5955_2	k141_31361	228	839	+	612	0
5955_3	k141_31361	858	1928	+	1071	1
5955_4	k141_31361	1959	2762	+	804	1
5955_5	k141_31361	3044	3424	-	381	20
5956_1	k141_17569	3	293	+	291	34
5956_2	k141_17569	431	1933	+	1503	235
5957_1	k141_41141	1	831	-	831	0
5958_1	k141_42929	1	642	+	642	0
5958_2	k141_42929	711	1325	+	615	0
5958_3	k141_42929	1402	2424	+	1023	0
5958_4	k141_42929	2430	3740	-	1311	0
5958_5	k141_42929	3744	4013	-	270	0
5959_1	k141_15627	48	722	-	675	0
5959_2	k141_15627	719	1549	-	831	0
5959_3	k141_15627	1562	1738	-	177	0
5959_4	k141_15627	1749	1874	-	126	0
5959_5	k141_15627	1871	2062	-	192	0
5960_1	k141_38386	120	665	-	546	140
5960_2	k141_38386	652	984	-	333	93
5960_3	k141_38386	1618	1914	+	297	118
5960_4	k141_38386	1943	2236	+	294	93
5960_5	k141_38386	2339	3874	+	1536	343
5960_6	k141_38386	3956	5575	+	1620	375
5960_7	k141_38386	5704	6945	+	1242	365
5960_8	k141_38386	7144	8124	-	981	251
5960_9	k141_38386	8151	9956	-	1806	326
5960_10	k141_38386	10230	11084	-	855	220
5960_11	k141_38386	11175	12701	-	1527	363
5960_12	k141_38386	12759	12848	+	90	17
5960_13	k141_38386	12939	14330	+	1392	314
5960_14	k141_38386	14364	15572	+	1209	312
5960_15	k141_38386	15714	17468	+	1755	532
5960_16	k141_38386	17475	19370	+	1896	498
5960_17	k141_38386	19418	21631	+	2214	600
5960_18	k141_38386	21646	22596	+	951	236
5960_19	k141_38386	22655	23656	+	1002	290
5960_20	k141_38386	24024	25190	+	1167	331
5960_21	k141_38386	25210	25503	+	294	33
5960_22	k141_38386	25510	26622	+	1113	243
5960_23	k141_38386	26648	27472	+	825	196
5960_24	k141_38386	27472	28707	+	1236	273
5960_25	k141_38386	28841	29881	+	1041	311
5960_26	k141_38386	29887	31272	+	1386	347
5960_27	k141_38386	31281	32048	+	768	191
5960_28	k141_38386	32096	32656	+	561	117
5960_29	k141_38386	32708	33610	+	903	175
5960_30	k141_38386	33607	35655	+	2049	530
5960_31	k141_38386	35703	35942	-	240	38
5960_32	k141_38386	36007	36780	-	774	194
5960_33	k141_38386	36859	38211	-	1353	261
5960_34	k141_38386	38255	39853	-	1599	346
5960_35	k141_38386	39871	40233	-	363	87
5960_36	k141_38386	40320	42404	-	2085	552
5960_37	k141_38386	42811	44379	-	1569	397
5960_38	k141_38386	44386	45243	-	858	243
5960_39	k141_38386	45442	45984	-	543	184
5960_40	k141_38386	46056	46715	-	660	166
5960_41	k141_38386	46867	50568	+	3702	985
5960_42	k141_38386	50648	54688	+	4041	861
5960_43	k141_38386	54692	55240	+	549	94
5960_44	k141_38386	55237	55809	+	573	197
5960_45	k141_38386	56018	57403	-	1386	333
5960_46	k141_38386	57423	58208	-	786	164
5960_47	k141_38386	58205	59089	-	885	316
5960_48	k141_38386	59732	61231	-	1500	389
5960_49	k141_38386	61690	64476	+	2787	688
5960_50	k141_38386	64494	65519	+	1026	252
5960_51	k141_38386	65547	67856	+	2310	517
5960_52	k141_38386	67951	68442	-	492	135
5960_53	k141_38386	68467	68688	-	222	42
5960_54	k141_38386	68675	70105	-	1431	309
5960_55	k141_38386	70187	71866	+	1680	419
5960_56	k141_38386	71891	72775	-	885	230
5960_57	k141_38386	72934	74220	+	1287	344
5960_58	k141_38386	74228	77500	+	3273	781
5960_59	k141_38386	77521	80322	+	2802	724
5960_60	k141_38386	80442	81311	+	870	209
5960_61	k141_38386	81353	82846	+	1494	108
5960_62	k141_38386	82972	85713	+	2742	711
5960_63	k141_38386	85710	88058	+	2349	598
5960_64	k141_38386	88231	88986	-	756	284
5961_1	k141_22013	178	342	+	165	2
5961_2	k141_22013	465	899	+	435	2
5961_3	k141_22013	943	1149	-	207	2
5962_1	k141_41144	196	489	-	294	1
5962_2	k141_41144	506	850	-	345	0
5962_3	k141_41144	866	1180	-	315	0
5962_4	k141_41144	1452	1529	+	78	0
5963_1	k141_3852	2	184	-	183	0
5963_2	k141_3852	196	912	-	717	0
5963_3	k141_3852	1098	3143	-	2046	4
5963_4	k141_3852	3340	3420	+	81	0
5964_1	k141_15628	2	358	+	357	0
5964_2	k141_15628	442	2925	+	2484	0
5965_1	k141_42930	2	301	-	300	0
5965_2	k141_42930	310	675	-	366	0
5965_3	k141_42930	836	1291	-	456	0
5965_4	k141_42930	1346	3172	-	1827	0
5966_1	k141_19254	3	3116	-	3114	1
5966_2	k141_19254	3417	3566	+	150	0
5966_3	k141_19254	3551	3739	+	189	0
5966_4	k141_19254	3889	4113	+	225	0
5966_5	k141_19254	4413	4637	-	225	1
5966_6	k141_19254	4740	5090	+	351	0
5966_7	k141_19254	5083	5781	+	699	2
5966_8	k141_19254	5972	6535	+	564	0
5966_9	k141_19254	6621	6803	+	183	0
5966_10	k141_19254	7355	8680	-	1326	0
5966_11	k141_19254	8843	9688	-	846	0
5966_12	k141_19254	10165	10557	-	393	0
